func,type,layers,neurons,iteration,epoc,loss,forward_cpu,forward_time,back_cpu,back_time,adam_cpu,adam_time
tanh,Single-threaded,1,256,900,0,2.678418,32.342888,32.369852,63.943902,64.025319,3.962522,3.964045
tanh,Single-threaded,1,256,1000,0,2.645499,35.940185,35.970181,72.473848,72.565343,4.450670,4.452389
tanh,Single-threaded,2,16,0,0,4.464860,0.002569,0.002624,0.000694,0.000715,0.000049,0.000049
tanh,Single-threaded,2,16,100,0,4.310787,0.088355,0.090158,0.066001,0.067943,0.004332,0.004360
tanh,Single-threaded,2,16,200,0,4.061842,0.175686,0.179227,0.132292,0.136259,0.008612,0.008669
tanh,Single-threaded,2,16,300,0,3.812158,0.262490,0.267683,0.198448,0.204408,0.013044,0.013144
tanh,Single-threaded,2,16,400,0,3.553775,0.348893,0.355727,0.263956,0.271854,0.017258,0.017389
tanh,Single-threaded,2,16,500,0,3.341477,0.435159,0.443680,0.329433,0.339255,0.021591,0.021754
tanh,Single-threaded,2,16,600,0,3.192513,0.521463,0.531753,0.394843,0.406689,0.025767,0.025956
tanh,Single-threaded,2,16,700,0,3.094840,0.607556,0.619552,0.460200,0.474089,0.029948,0.030157
tanh,Single-threaded,2,16,800,0,3.084974,0.694075,0.707710,0.525819,0.541711,0.034246,0.034481
tanh,Single-threaded,2,16,900,0,2.988256,0.780310,0.795735,0.591264,0.609213,0.038405,0.038672
tanh,Single-threaded,2,16,1000,0,2.955471,0.866309,0.883444,0.656621,0.676522,0.042573,0.042864
tanh,Single-threaded,2,32,0,0,4.408247,0.006891,0.006947,0.001835,0.001860,0.000268,0.000269
tanh,Single-threaded,2,32,100,0,4.184051,0.224535,0.226476,0.182179,0.184379,0.014727,0.014766
tanh,Single-threaded,2,32,200,0,3.731445,0.441140,0.444927,0.360748,0.365114,0.028915,0.028986
tanh,Single-threaded,2,32,300,0,3.430444,0.658937,0.664558,0.541823,0.548362,0.043214,0.043316
tanh,Single-threaded,2,32,400,0,3.230439,0.876707,0.884169,0.722033,0.730759,0.057046,0.057188
tanh,Single-threaded,2,32,500,0,3.099188,1.093754,1.102948,0.901884,0.912829,0.071258,0.071440
tanh,Single-threaded,2,32,600,0,3.003925,1.310985,1.321937,1.083917,1.097114,0.085833,0.086042
tanh,Single-threaded,2,32,700,0,2.921170,1.529537,1.542348,1.267004,1.282399,0.100583,0.100825
tanh,Single-threaded,2,32,800,0,2.925255,1.748874,1.763453,1.449849,1.467453,0.115549,0.115825
tanh,Single-threaded,2,32,900,0,2.830539,1.965927,1.982185,1.629609,1.649473,0.129478,0.129791
tanh,Single-threaded,2,32,1000,0,2.796891,2.184164,2.202372,1.810364,1.832386,0.143090,0.143434
tanh,Single-threaded,2,64,0,0,4.442514,0.020632,0.020706,0.007518,0.007553,0.000892,0.000893
tanh,Single-threaded,2,64,100,0,3.951486,0.713723,0.716015,0.722336,0.725846,0.057120,0.057169
tanh,Single-threaded,2,64,200,0,3.424853,1.407988,1.412336,1.434342,1.441413,0.114193,0.114303
tanh,Single-threaded,2,64,300,0,3.150402,2.105383,2.111689,2.142244,2.152713,0.166658,0.166814
tanh,Single-threaded,2,64,400,0,2.977341,2.806608,2.814918,2.857055,2.871170,0.218966,0.219191
tanh,Single-threaded,2,64,500,0,2.884804,3.505431,3.515807,3.562686,3.580261,0.268482,0.268781
tanh,Single-threaded,2,64,600,0,2.794929,4.203743,4.216104,4.266255,4.287327,0.318075,0.318420
tanh,Single-threaded,2,64,700,0,2.721232,4.897962,4.912354,4.966732,4.991310,0.367240,0.367644
tanh,Single-threaded,2,64,800,0,2.736235,5.594174,5.610600,5.668394,5.696311,0.417279,0.417734
tanh,Single-threaded,2,64,900,0,2.641734,6.293664,6.312098,6.372945,6.404246,0.467677,0.468198
tanh,Single-threaded,2,64,1000,0,2.620895,6.989442,7.009949,7.072873,7.107548,0.517661,0.518230
tanh,Single-threaded,2,100,0,0,4.482701,0.046479,0.046555,0.018815,0.018855,0.001272,0.001273
tanh,Single-threaded,2,100,100,0,3.834125,1.615157,1.617942,1.784539,1.789087,0.136786,0.136880
tanh,Single-threaded,2,100,200,0,3.337458,3.192546,3.197999,3.550916,3.560080,0.273520,0.273714
tanh,Single-threaded,2,100,300,0,3.079313,4.777309,4.785547,5.326325,5.340228,0.407678,0.407967
tanh,Single-threaded,2,100,400,0,2.899682,6.363821,6.375034,7.093964,7.112550,0.540367,0.540743
tanh,Single-threaded,2,100,500,0,2.796738,7.943753,7.957632,8.856931,8.879988,0.672927,0.673388
tanh,Single-threaded,2,100,600,0,2.708823,9.529700,9.546240,10.625664,10.653159,0.808839,0.809386
tanh,Single-threaded,2,100,700,0,2.640049,11.132767,11.153332,12.434910,12.467632,0.949797,0.950436
tanh,Single-threaded,2,100,800,0,2.646879,12.717924,12.741048,14.204691,14.241745,1.084567,1.085294
tanh,Single-threaded,2,100,900,0,2.550362,14.301846,14.327535,15.969090,16.010385,1.216764,1.217570
tanh,Single-threaded,2,100,1000,0,2.526364,15.885214,15.913486,17.732944,17.778634,1.352011,1.352905
tanh,Single-threaded,2,128,0,0,4.484207,0.074494,0.074567,0.029814,0.029867,0.002235,0.002237
tanh,Single-threaded,2,128,100,0,3.736757,2.537992,2.541040,3.015164,3.021249,0.237211,0.237326
tanh,Single-threaded,2,128,200,0,3.284543,5.012590,5.018620,5.999443,6.011253,0.470502,0.470739
tanh,Single-threaded,2,128,300,0,3.056531,7.493880,7.502662,9.000907,9.018631,0.707851,0.710358
tanh,Single-threaded,2,128,400,0,2.891905,9.989600,10.001048,11.998111,12.022641,0.946168,0.948788
tanh,Single-threaded,2,128,500,0,2.785063,12.494284,12.508693,14.997217,15.027773,1.193156,1.195894
tanh,Single-threaded,2,128,600,0,2.691140,14.973677,14.991005,17.991292,18.027517,1.434503,1.437364
tanh,Single-threaded,2,128,700,0,2.607948,17.465438,17.485726,20.982556,21.024576,1.679989,1.682958
tanh,Single-threaded,2,128,800,0,2.604711,19.943487,19.966437,23.959387,24.007060,1.922874,1.925943
tanh,Single-threaded,2,128,900,0,2.507657,22.449467,22.475316,26.991383,27.045077,2.168382,2.171563
tanh,Single-threaded,2,128,1000,0,2.478717,24.974023,25.002897,30.263991,30.323990,2.434415,2.437740
tanh,Single-threaded,2,200,0,0,4.457815,0.196936,0.197075,0.303784,0.304161,0.008932,0.008935
tanh,Single-threaded,2,200,100,0,3.650361,6.290394,6.294613,17.687127,17.707658,0.827389,0.827603
tanh,Single-threaded,2,200,200,0,3.214037,12.204010,12.211959,31.613504,31.648856,1.561332,1.561744
tanh,Single-threaded,2,200,300,0,2.973901,18.250808,18.262577,48.993914,49.048656,2.383516,2.384140
tanh,Single-threaded,2,200,400,0,2.789903,24.284640,24.300182,65.000299,65.072981,3.182125,3.182971
tanh,Single-threaded,2,200,500,0,2.678702,30.205558,30.224865,79.387955,79.477312,3.922880,3.923933
tanh,Single-threaded,2,200,600,0,2.598949,36.404479,36.428006,99.453020,99.568565,4.831511,4.832858
tanh,Single-threaded,2,200,700,0,2.529848,42.648443,42.676429,121.036291,121.178593,5.785148,5.786836
tanh,Single-threaded,2,200,800,0,2.540829,48.812761,48.844888,140.528686,140.694784,6.699209,6.701224
tanh,Single-threaded,2,200,900,0,2.440581,55.013835,55.050146,159.617851,159.806867,7.625202,7.627500
tanh,Single-threaded,2,200,1000,0,2.414718,61.252092,61.293121,179.905538,180.120104,8.582024,8.584614
tanh,Single-threaded,2,256,0,0,4.506135,0.330310,0.330550,0.360301,0.360604,0.017729,0.017732
tanh,Single-threaded,2,256,100,0,3.674133,11.659165,11.665955,40.783421,40.817080,1.745976,1.746330
tanh,Single-threaded,2,256,200,0,3.212019,23.311037,23.324135,81.868071,81.936177,3.599084,3.599820
tanh,Single-threaded,2,256,300,0,2.939449,34.101294,34.119905,119.347015,119.445163,5.368730,5.369825
tanh,Single-threaded,2,256,400,0,2.741103,44.793429,44.817377,156.653586,156.781009,7.117627,7.119102
tanh,Single-threaded,2,256,500,0,2.633934,55.547532,55.577044,194.031134,194.188119,8.856938,8.858761
tanh,Single-threaded,2,256,600,0,2.549947,66.256228,66.291130,231.488525,231.675291,10.620809,10.623037
tanh,Single-threaded,2,256,700,0,2.479847,76.015193,76.054974,258.094841,258.301429,11.918783,11.921264
tanh,Single-threaded,2,256,800,0,2.484809,85.273857,85.318271,278.834767,279.056290,12.973153,12.975832
tanh,Single-threaded,2,256,900,0,2.388444,94.540130,94.589019,300.154261,300.390665,14.055235,14.058143
tanh,Single-threaded,2,256,1000,0,2.357767,103.808907,103.862194,322.442874,322.694715,15.158132,15.161253
tanh,Single-threaded,3,16,0,0,4.534765,0.003158,0.003211,0.000793,0.000821,0.000061,0.000062
tanh,Single-threaded,3,16,100,0,4.359383,0.107510,0.109516,0.079994,0.082473,0.005368,0.005397
tanh,Single-threaded,3,16,200,0,4.031468,0.211635,0.215577,0.159635,0.164481,0.010832,0.010890
tanh,Single-threaded,3,16,300,0,3.797983,0.315798,0.321684,0.239566,0.246848,0.016059,0.016143
tanh,Single-threaded,3,16,400,0,3.596537,0.418870,0.426733,0.318043,0.327699,0.021047,0.021147
tanh,Single-threaded,3,16,500,0,3.434518,0.521936,0.531841,0.397135,0.409137,0.026228,0.026363
tanh,Single-threaded,3,16,600,0,3.307949,0.625810,0.637740,0.476781,0.491216,0.031361,0.031525
tanh,Single-threaded,3,16,700,0,3.230418,0.729549,0.743419,0.555996,0.572927,0.036494,0.036684
tanh,Single-threaded,3,16,800,0,3.223970,0.832651,0.848554,0.635955,0.655291,0.041621,0.041843
tanh,Single-threaded,3,16,900,0,3.136123,0.936256,0.954113,0.715825,0.737583,0.046920,0.047173
tanh,Single-threaded,3,16,1000,0,3.103914,1.039210,1.059003,0.794246,0.818339,0.051997,0.052279
tanh,Single-threaded,3,32,0,0,4.525252,0.008198,0.008254,0.002481,0.002503,0.000201,0.000202
tanh,Single-threaded,3,32,100,0,4.196746,0.291830,0.294086,0.252614,0.255311,0.018059,0.018096
tanh,Single-threaded,3,32,200,0,3.693119,0.575360,0.579765,0.503333,0.508627,0.035602,0.035674
tanh,Single-threaded,3,32,300,0,3.373597,0.858067,0.864644,0.753727,0.761722,0.053565,0.053671
tanh,Single-threaded,3,32,400,0,3.205014,1.142031,1.150664,1.005557,1.016296,0.071404,0.071542
tanh,Single-threaded,3,32,500,0,3.117718,1.426129,1.436957,1.256280,1.269685,0.089355,0.089533
tanh,Single-threaded,3,32,600,0,3.047935,1.712202,1.725157,1.509302,1.525357,0.107698,0.107919
tanh,Single-threaded,3,32,700,0,2.966431,1.998571,2.013671,1.760821,1.779555,0.126516,0.126772
tanh,Single-threaded,3,32,800,0,2.939301,2.284908,2.302145,2.012962,2.034468,0.144468,0.144763
tanh,Single-threaded,3,32,900,0,2.812161,2.571310,2.590651,2.267406,2.291929,0.162506,0.162838
tanh,Single-threaded,3,32,1000,0,2.768952,2.856207,2.877683,2.513763,2.540951,0.179796,0.180158
tanh,Single-threaded,3,64,0,0,4.477131,0.030270,0.030342,0.011488,0.011528,0.000751,0.000752
tanh,Single-threaded,3,64,100,0,3.872823,1.045116,1.047560,1.103460,1.107485,0.084703,0.084774
tanh,Single-threaded,3,64,200,0,3.396847,2.063711,2.068447,2.209765,2.217744,0.169668,0.169807
tanh,Single-threaded,3,64,300,0,3.158466,3.077943,3.084818,3.309218,3.323087,0.256810,0.257018
tanh,Single-threaded,3,64,400,0,2.991652,4.095456,4.104436,4.410460,4.428326,0.341161,0.341429
tanh,Single-threaded,3,64,500,0,2.869577,5.110895,5.121983,5.509009,5.530753,0.427759,0.428091
tanh,Single-threaded,3,64,600,0,2.762832,6.129766,6.143009,6.615089,6.640753,0.514049,0.514462
tanh,Single-threaded,3,64,700,0,2.681357,7.153101,7.168487,7.714740,7.744301,0.600899,0.601392
tanh,Single-threaded,3,64,800,0,2.684876,8.177266,8.194872,8.824719,8.858306,0.683575,0.684135
tanh,Single-threaded,3,64,900,0,2.592734,9.200638,9.220492,9.933882,9.971482,0.768134,0.768767
tanh,Single-threaded,3,64,1000,0,2.568583,10.227579,10.249544,11.042242,11.083865,0.856443,0.857143
tanh,Single-threaded,3,100,0,0,4.534355,0.073770,0.073891,0.033840,0.033941,0.002186,0.002186
tanh,Single-threaded,3,100,100,0,3.786010,2.483350,2.486359,3.058085,3.066442,0.255595,0.255717
tanh,Single-threaded,3,100,200,0,3.342749,4.904901,4.910822,6.101151,6.115910,0.500992,0.501249
tanh,Single-threaded,3,100,300,0,3.122351,7.334679,7.343574,9.152659,9.173808,0.761175,0.761580
tanh,Single-threaded,3,100,400,0,2.942293,9.766244,9.778113,12.180132,12.208930,1.008446,1.008972
