func,type,layers,neurons,iteration,epoc,loss,forward_cpu,forward_time,back_cpu,back_time,adam_cpu,adam_time
tanh,Multi-threaded,1,256,300,0,3.120146,12.644662,4.305726,27.106612,8.413993,2.633514,0.634931
tanh,Multi-threaded,1,256,400,0,2.975303,16.844780,5.745587,36.200402,11.232536,3.505035,0.844950
tanh,Multi-threaded,1,256,500,0,2.881738,21.043287,7.180532,45.151562,14.008231,4.378397,1.056267
tanh,Multi-threaded,1,256,600,0,2.806310,25.236314,8.614214,54.323299,16.855623,5.251808,1.267635
tanh,Multi-threaded,1,256,700,0,2.734907,29.437148,10.055546,63.362687,19.659607,6.131501,1.479741
tanh,Multi-threaded,1,256,800,0,2.741869,33.639367,11.494539,72.461193,22.485488,7.010141,1.691846
tanh,Multi-threaded,1,256,900,0,2.646856,37.818136,12.921073,81.366140,25.243301,7.882262,1.903035
tanh,Multi-threaded,1,256,1000,0,2.616633,41.975720,14.338732,90.336273,28.018395,8.753066,2.112774
tanh,Multi-threaded,2,16,0,0,4.552503,0.033614,0.021252,0.011529,0.007555,0.000653,0.000261
tanh,Multi-threaded,2,16,100,0,4.396049,1.118002,0.746226,1.086048,0.741390,0.060272,0.020503
tanh,Multi-threaded,2,16,200,0,4.043286,2.186703,1.465438,2.131393,1.444183,0.119538,0.039812
tanh,Multi-threaded,2,16,300,0,3.716711,3.262481,2.186092,3.185160,2.155203,0.181441,0.059836
tanh,Multi-threaded,2,16,400,0,3.457476,4.340132,2.912762,4.246191,2.868590,0.241168,0.080833
tanh,Multi-threaded,2,16,500,0,3.290636,5.419554,3.639709,5.302792,3.580749,0.302832,0.101469
tanh,Multi-threaded,2,16,600,0,3.184731,6.515424,4.366027,6.382086,4.310070,0.363003,0.121487
tanh,Multi-threaded,2,16,700,0,3.118861,7.615644,5.103297,7.460798,5.042170,0.422224,0.141412
tanh,Multi-threaded,2,16,800,0,3.137817,8.711788,5.839676,8.546587,5.778112,0.480301,0.160492
tanh,Multi-threaded,2,16,900,0,3.059464,9.818754,6.584075,9.624658,6.505467,0.545737,0.183295
tanh,Multi-threaded,2,16,1000,0,3.040609,10.911138,7.314841,10.700714,7.231853,0.605772,0.202663
tanh,Multi-threaded,2,32,0,0,4.473903,0.041229,0.025136,0.012903,0.007772,0.000836,0.000323
tanh,Multi-threaded,2,32,100,0,4.163907,1.317555,0.833396,1.284370,0.815499,0.091045,0.024651
tanh,Multi-threaded,2,32,200,0,3.661942,2.582439,1.631537,2.539110,1.607005,0.181496,0.049290
tanh,Multi-threaded,2,32,300,0,3.363749,3.838424,2.416886,3.789269,2.388672,0.269601,0.075797
