func,type,layers,neurons,iteration,epoc,loss,forward_cpu,forward_time,back_cpu,back_time,adam_cpu,adam_time
tanh,Multi-threaded,1,256,800,0,2.745581,43.923920,16.113736,49.803449,17.978067,2.027310,0.630254
tanh,Multi-threaded,1,256,900,0,2.653197,49.402073,18.121250,56.027181,20.224230,2.283777,0.709510
tanh,Multi-threaded,1,256,1000,0,2.620928,54.883103,20.129454,62.236657,22.466466,2.538203,0.788735
tanh,Multi-threaded,2,16,0,0,4.393688,0.046675,0.032645,0.018810,0.012046,0.000227,0.000089
tanh,Multi-threaded,2,16,100,0,4.311129,1.113044,0.985958,0.978324,0.946259,0.011963,0.006811
tanh,Multi-threaded,2,16,200,0,4.066275,2.177105,1.936241,1.939072,1.878555,0.023665,0.013561
tanh,Multi-threaded,2,16,300,0,3.815516,3.236216,2.885010,2.898732,2.812523,0.035385,0.020350
tanh,Multi-threaded,2,16,400,0,3.577577,4.293787,3.834613,3.858687,3.744111,0.047051,0.027055
tanh,Multi-threaded,2,16,500,0,3.405306,5.347511,4.783940,4.809091,4.675838,0.058626,0.033788
tanh,Multi-threaded,2,16,600,0,3.264192,6.400900,5.733872,5.760839,5.604314,0.070228,0.040476
tanh,Multi-threaded,2,16,700,0,3.177780,7.457025,6.681449,6.717158,6.535411,0.081862,0.047145
tanh,Multi-threaded,2,16,800,0,3.172039,8.513345,7.631502,7.673340,7.468794,0.093541,0.053819
tanh,Multi-threaded,2,16,900,0,3.086662,9.572748,8.582764,8.632016,8.401737,0.105203,0.060395
tanh,Multi-threaded,2,16,1000,0,3.052636,10.627862,9.531257,9.586547,9.331430,0.116870,0.067015
tanh,Multi-threaded,2,32,0,0,4.412639,0.043999,0.031574,0.017450,0.011994,0.000301,0.000104
tanh,Multi-threaded,2,32,100,0,4.148274,1.289005,1.038769,1.162615,0.985046,0.016979,0.008349
tanh,Multi-threaded,2,32,200,0,3.615573,2.527232,2.046236,2.309157,1.960768,0.033673,0.016666
tanh,Multi-threaded,2,32,300,0,3.330246,3.763368,3.048728,3.455949,2.923307,0.050370,0.024893
tanh,Multi-threaded,2,32,400,0,3.170719,5.000786,4.050494,4.598674,3.897651,0.066841,0.033154
tanh,Multi-threaded,2,32,500,0,3.075281,6.235737,5.054492,5.741637,4.871698,0.083370,0.041348
tanh,Multi-threaded,2,32,600,0,2.999503,7.473281,6.056910,6.887835,5.844687,0.099893,0.049657
tanh,Multi-threaded,2,32,700,0,2.936275,8.710706,7.061036,8.033275,6.820168,0.116566,0.057947
tanh,Multi-threaded,2,32,800,0,2.945038,9.953841,8.064126,9.185831,7.792425,0.133410,0.066217
