func,type,layers,neurons,iteration,epoc,loss,forward_cpu,forward_time,back_cpu,back_time,adam_cpu,adam_time
tanh,Single-threaded,2,100,900,0,2.549128,13.385994,13.406090,14.372885,14.400972,0.891889,0.892574
tanh,Single-threaded,2,100,1000,0,2.529891,14.868106,14.890217,15.962638,15.993808,0.988994,0.989744
tanh,Single-threaded,2,128,0,0,4.557978,0.069521,0.069616,0.029350,0.029390,0.003635,0.003635
tanh,Single-threaded,2,128,100,0,3.772411,2.374278,2.376656,2.770475,2.774179,0.170996,0.171072
tanh,Single-threaded,2,128,200,0,3.281285,4.658257,4.662948,5.487252,5.494820,0.334480,0.334640
tanh,Single-threaded,2,128,300,0,3.038677,6.969811,6.977024,8.234148,8.245482,0.502533,0.502774
tanh,Single-threaded,2,128,400,0,2.860823,9.270121,9.279682,10.967060,10.981917,0.667475,0.667818
tanh,Single-threaded,2,128,500,0,2.753745,11.543975,11.555890,13.653639,13.672104,0.827124,0.827546
tanh,Single-threaded,2,128,600,0,2.667402,13.804961,13.819134,16.330761,16.352780,0.985557,0.986055
tanh,Single-threaded,2,128,700,0,2.595488,16.063164,16.079692,19.003638,19.029189,1.144082,1.144670
tanh,Single-threaded,2,128,800,0,2.605604,18.328543,18.347453,21.671639,21.700693,1.301901,1.302593
tanh,Single-threaded,2,128,900,0,2.508690,20.589109,20.610376,24.342865,24.375373,1.460637,1.461423
tanh,Single-threaded,2,128,1000,0,2.479549,22.851070,22.874673,27.012875,27.048888,1.618453,1.619331
tanh,Single-threaded,2,200,0,0,4.433963,0.152892,0.152945,0.096960,0.097034,0.007715,0.007716
tanh,Single-threaded,2,200,100,0,3.665035,5.300316,5.302824,9.848174,9.856136,0.442068,0.442243
tanh,Single-threaded,2,200,200,0,3.222165,10.454818,10.459745,19.575778,19.592049,0.876050,0.876384
tanh,Single-threaded,2,200,300,0,2.959770,15.835688,15.843078,30.329461,30.354607,1.340751,1.341231
tanh,Single-threaded,2,200,400,0,2.772014,21.593740,21.603927,42.566260,42.601139,1.841915,1.842555
