func,type,layers,neurons,iteration,epoc,loss,forward_cpu,forward_time,back_cpu,back_time,adam_cpu,adam_time
tanh,Multi-threaded,2,32,800,0,2.968709,11.100363,15.417336,11.018796,15.270487,0.162111,0.154869
tanh,Multi-threaded,2,32,900,0,2.884394,12.488585,17.362073,12.396756,17.191417,0.183075,0.175435
tanh,Multi-threaded,2,32,1000,0,2.854558,13.869462,19.289757,13.771325,19.108336,0.204209,0.195000
tanh,Multi-threaded,2,64,0,0,4.433971,0.044083,0.066217,0.015700,0.022618,0.000185,0.000357
tanh,Multi-threaded,2,64,100,0,3.877746,1.508144,2.186693,1.575237,2.291544,0.019495,0.038311
tanh,Multi-threaded,2,64,200,0,3.403091,2.970479,4.298193,3.133888,4.551789,0.039208,0.075792
tanh,Multi-threaded,2,64,300,0,3.191356,4.436366,6.409473,4.687416,6.796690,0.059681,0.112958
tanh,Multi-threaded,2,64,400,0,3.059221,5.897038,8.507892,6.235830,9.030057,0.078521,0.149449
tanh,Multi-threaded,2,64,500,0,2.970362,7.351445,10.599309,7.786963,11.277534,0.097539,0.186224
tanh,Multi-threaded,2,64,600,0,2.883552,8.814260,12.698058,9.342231,13.545362,0.117742,0.224509
tanh,Multi-threaded,2,64,700,0,2.796092,10.272942,14.793126,10.897290,15.792840,0.138840,0.262972
tanh,Multi-threaded,2,64,800,0,2.787628,11.726532,16.881963,12.445962,18.037077,0.158964,0.301557
tanh,Multi-threaded,2,64,900,0,2.673607,13.189859,18.980030,13.999456,20.288394,0.180361,0.338491
tanh,Multi-threaded,2,64,1000,0,2.636751,14.654654,21.077234,15.551316,22.524956,0.199593,0.374872
tanh,Multi-threaded,2,100,0,0,4.467927,0.048192,0.070084,0.019424,0.030475,0.000190,0.000908
tanh,Multi-threaded,2,100,100,0,3.813185,1.627320,2.298252,1.767199,2.597181,0.028804,0.102615
tanh,Multi-threaded,2,100,200,0,3.338722,3.297483,4.659574,3.702793,5.522154,0.070730,0.236093
tanh,Multi-threaded,2,100,300,0,3.111340,5.045218,7.112170,5.750768,8.630314,0.109491,0.366547
tanh,Multi-threaded,2,100,400,0,2.950976,6.861039,9.677745,7.919014,11.989234,0.147080,0.516730
tanh,Multi-threaded,2,100,500,0,2.833048,8.608413,12.170101,9.991201,15.215867,0.183331,0.657460
tanh,Multi-threaded,2,100,600,0,2.748360,10.375757,14.671744,12.058431,18.396856,0.233166,0.801300
tanh,Multi-threaded,2,100,700,0,2.664142,12.034857,17.012893,13.937190,21.230033,0.269293,0.920562
tanh,Multi-threaded,2,100,800,0,2.671235,13.670919,19.323394,15.786466,23.990052,0.301900,1.032286
tanh,Multi-threaded,2,100,900,0,2.573757,15.307255,21.625021,17.657279,26.792399,0.330429,1.147216
tanh,Multi-threaded,2,100,1000,0,2.557500,16.942262,23.919405,19.502871,29.561651,0.359710,1.256676
tanh,Multi-threaded,2,128,0,0,4.471792,0.056039,0.087954,0.020677,0.035234,0.000187,0.001446
tanh,Multi-threaded,2,128,100,0,3.754369,1.863406,2.867453,2.225881,3.781928,0.057684,0.212380
tanh,Multi-threaded,2,128,200,0,3.294071,3.704955,5.717154,4.522966,7.744594,0.120047,0.436801
tanh,Multi-threaded,2,128,300,0,3.048170,5.613746,8.661186,7.026675,12.095488,0.180819,0.682699
tanh,Multi-threaded,2,128,400,0,2.863292,7.383765,11.401507,9.177936,15.754356,0.225626,0.873642
tanh,Multi-threaded,2,128,500,0,2.746511,9.266142,14.304505,11.623613,19.986964,0.274551,1.099531
tanh,Multi-threaded,2,128,600,0,2.664942,11.115309,17.157052,14.019915,24.130716,0.354139,1.330597
tanh,Multi-threaded,2,128,700,0,2.580749,12.928228,19.959473,16.267245,27.938351,0.404441,1.527073
tanh,Multi-threaded,2,128,800,0,2.587530,14.707088,22.713659,18.429013,31.613357,0.457724,1.723162
tanh,Multi-threaded,2,128,900,0,2.497426,16.500597,25.485630,20.631575,35.374224,0.502127,1.922835
tanh,Multi-threaded,2,128,1000,0,2.473203,18.413107,28.437597,23.099657,39.660100,0.578002,2.170230
tanh,Multi-threaded,2,200,0,0,4.551579,0.068599,0.124096,0.036674,0.081493,0.003004,0.004620
tanh,Multi-threaded,2,200,100,0,3.706948,2.311294,4.169653,4.047284,8.972033,0.359215,0.662793
tanh,Multi-threaded,2,200,200,0,3.233251,4.549978,8.216755,7.939520,17.610890,0.665316,1.300746
tanh,Multi-threaded,2,200,300,0,2.974985,6.800671,12.269603,11.931931,26.577242,0.917948,1.927475
